state_abbr,year,population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_1000,homicide_1000,rape_1000,robbery_1000,aggravated_assault_1000,property_crime_1000,burglary_1000,larceny_1000,motor_vehicle_theft_1000,arson_1000
SD,2016,861542,3636,28,526,274,2808,17207,3002,12705,1500,127,4.22033980931864,0.03249986651840537,0.6105332067386151,0.31803440807296685,3.259272327988653,19.972328685078615,3.4844499745804614,14.746814432726437,1.7410642777717162,0.14741010885133865
SD,2017,873286,3753,27,575,264,2887,16588,2835,12285,1468,137,4.297561165528819,0.030917706226826037,0.6584326326083323,0.30230646088452123,3.3059043658091394,18.994922625577416,3.2463591538167336,14.067556333205847,1.6810071385548377,0.15687873159537655
SD,2018,878698,3483,12,617,222,2632,15191,2502,11237,1452,78,3.963819196128818,0.013656569151175945,0.7021752638562965,0.25264652929675496,2.9953408338245904,17.288078497959482,2.8473946680201845,12.788238962647007,1.6524448672922893,0.08876769948264364
SD,2019,887127,3523,16,647,190,2670,15686,2662,11265,1759,66,3.971246506982653,0.01803574910920308,0.7293206046033995,0.21417452067178658,3.009715632598264,17.68179753293497,3.0006977580436622,12.698294607198294,1.9828051676930136,0.0743974650754627
SD,2020,892717,4476,40,599,274,3563,17468,3036,12117,2315,97,5.013906982840027,0.04480703291188585,0.6709853178554906,0.3069281754464181,3.9911864566262323,19.56723127262055,3.400853798012136,13.573170444833021,2.5932070297753937,0.10865705481132319
TN,1979,4380000,18135,430,1511,7277,8917,157651,56710,84850,16091,1826,4.140410958904109,0.09817351598173515,0.3449771689497717,1.6614155251141554,2.0358447488584477,35.99337899543379,12.947488584474886,19.37214611872146,3.673744292237443,0.4168949771689498
TN,1980,4545590,20824,489,1700,8208,10427,183632,68251,98876,16505,1997,4.581143481924238,0.10757679421153249,0.37398885513211705,1.8057061899555393,2.29387164262505,40.397836144482895,15.014772559777718,21.75207178826071,3.630991796444466,0.43932690805813984
TN,1981,4610000,19019,448,1735,7916,8920,179737,63811,100526,15400,1799,4.125596529284165,0.09718004338394794,0.37635574837310193,1.7171366594360087,1.9349240780911063,38.9885032537961,13.841865509761389,21.806073752711498,3.3405639913232106,0.3902386117136659
TN,1982,4651000,19586,452,1651,8173,9310,185692,59934,110316,15442,1590,4.211137389808643,0.09718340141904967,0.35497742420984735,1.7572565039776393,2.001720060202107,39.92517738120834,12.88626101913567,23.718770156955493,3.320146205117179,0.3418619651687809
TN,1983,4685000,18836,410,1682,8094,8650,169110,56498,97785,14827,1566,4.020490928495198,0.08751334044823907,0.3590181430096051,1.727641408751334,1.8463180362860192,36.09605122732124,12.059338313767343,20.871931696905015,3.1647812166488793,0.33425827107790823
TN,1984,4717000,21010,394,1887,7867,10862,162462,53002,92176,17284,1492,4.4541021835912655,0.08352766588933644,0.4000423998304007,1.6677973288106847,2.302734789060844,34.44180623277507,11.236379054483782,19.54123383506466,3.664193343226627,0.31630273478906085
TN,1985,4762000,22592,429,2027,8614,11522,175827,55563,97159,23105,1563,4.74422511549769,0.09008819823603528,0.4256614867702646,1.8089038219235616,2.4195716085678285,36.922931541369174,11.667996640067198,20.402981940361194,4.851952960940781,0.32822343553128935
TN,1986,4803000,25919,501,2256,9978,13184,191861,63649,102103,26109,1772,5.396418904851135,0.10430980637101811,0.4697064334790756,2.0774515927545285,2.7449510722465127,39.94607536956069,13.251925879658547,21.258171975848427,5.435977514053716,0.3689360816156569
TN,1987,4855000,25900,444,2133,9409,13914,200616,65632,107459,27525,1666,5.33470648815654,0.09145211122554069,0.43934088568486096,1.9380020597322347,2.8659114315139034,41.32152420185376,13.518434603501545,22.133676622039136,5.66941297631308,0.3431513903192585
TN,1988,4919000,26205,461,2201,8537,15006,193647,60894,106052,26701,1551,5.327302297214881,0.09371823541370197,0.44744866842854236,1.7355153486480992,3.0506200447245373,39.367147794267126,12.37934539540557,21.559666598902215,5.428135799959342,0.31530798942874566
TN,1989,4940000,27118,417,2270,7926,16505,195854,59621,109908,26325,1519,5.489473684210527,0.08441295546558704,0.45951417004048584,1.6044534412955465,3.341093117408907,39.64655870445344,12.06902834008097,22.248582995951416,5.328947368421052,0.30748987854251014
