year,state_abbr,measure_type,violent_crime_1000,property_crime_1000
2012-01-01,MT,historical,2.7876844615681446,25.95937917083543
2013-01-01,MT,historical,2.881174226300273,25.81134023869208
2014-01-01,MT,historical,3.2846258790600946,24.944979340377547
2015-01-01,MT,historical,3.533664769837017,26.42836310997381
2016-01-01,MT,historical,3.7413734672499848,27.108108940785016
2017-01-01,MT,historical,3.7385218737239936,25.918012705466772
2018-01-01,MT,historical,3.8089311893953317,25.254910834240786
2019-01-01,MT,historical,4.1789588673451545,22.360980933967404
2020-01-01,MT,historical,4.698415753805605,21.208113813268284
2021-01-01,MT,forecast,3.5562949180603027,19.795934677124023
1979-01-01,NC,historical,4.46111309311452,39.263824473778094
1980-01-01,NC,historical,4.550055487438106,41.85472644307981
1981-01-01,NC,historical,4.366661065367166,40.835489833641404
1982-01-01,NC,historical,4.463366007642466,40.969097856786846
1983-01-01,NC,historical,4.095856626109832,37.7408747122657
1984-01-01,NC,historical,4.0364963503649625,36.40502838605028
1985-01-01,NC,historical,4.208952837729816,37.00479616306954
1986-01-01,NC,historical,4.7588058758489975,38.55962723108514
1987-01-01,NC,historical,4.8400124746608455,41.65866209262435
1988-01-01,NC,historical,5.018847686178364,43.60358565737052
1989-01-01,NC,historical,5.463704154618781,47.07396134530513
1990-01-01,NC,historical,6.235369352704033,48.62326900688633
1991-01-01,NC,historical,6.583791004898323,52.30339913908268
1992-01-01,NC,historical,6.809878708168932,51.21247990647377
1993-01-01,NC,historical,6.793088552915767,49.730309575233974
1994-01-01,NC,historical,6.54992927864215,49.702545968882596
1995-01-01,NC,historical,6.463933287004863,49.93134120917304
1996-01-01,NC,historical,5.881196231052848,49.38085484091219
1997-01-01,NC,historical,6.07016835016835,48.84471380471381
1998-01-01,NC,historical,5.794195600318051,47.42804134640869
1999-01-01,NC,historical,5.420878813936707,46.334698290594595
2000-01-01,NC,historical,4.975704137732003,44.21756241805978
2001-01-01,NC,historical,4.931084844758872,44.33004452173108
2002-01-01,NC,historical,4.7097095771398845,42.58556048650224
2003-01-01,NC,historical,4.541282170334597,42.70892831060693
2004-01-01,NC,historical,4.477974743304465,41.605214140489714
2005-01-01,NC,historical,4.687251908599395,40.80215311482014
2006-01-01,NC,historical,4.7522132037412055,41.16172237242569
2007-01-01,NC,historical,4.660727387343958,40.822391974777275
2008-01-01,NC,historical,4.6761075787749276,40.41924381186964
2009-01-01,NC,historical,4.0450345617747745,36.639084333629974
2010-01-01,NC,historical,3.6274216718963164,34.434512795398106
2011-01-01,NC,historical,3.4629202485974924,35.001802384660074
2012-01-01,NC,historical,3.5353624464576825,33.707604681154706
2013-01-01,NC,historical,3.4102226671216744,31.031939856940614
2014-01-01,NC,historical,3.2914211488949072,28.721014584241036
2015-01-01,NC,historical,3.461221346569959,27.494756948202056
2016-01-01,NC,historical,3.7184361951025564,27.34798712454423
2017-01-01,NC,historical,3.7039957939011567,25.848327296802587
2018-01-01,NC,historical,3.562066210315062,23.437875513588203
2019-01-01,NC,historical,3.787405545783298,23.914466893125702
2020-01-01,NC,historical,4.193165002377644,22.264875095075165
2021-01-01,NC,forecast,3.4700217247009277,22.617202758789062
1979-01-01,ND,historical,0.6133942161339422,26.945205479452056
1980-01-01,ND,historical,0.539515692702897,29.097062245090328
1981-01-01,ND,historical,0.6747720364741642,29.2355623100304
1982-01-01,ND,historical,0.6179104477611941,25.86268656716418
1983-01-01,ND,historical,0.5367647058823529,26.217647058823534
1984-01-01,ND,historical,0.5364431486880467,25.297376093294464
1985-01-01,ND,historical,0.4700729927007299,26.324087591240872
1986-01-01,ND,historical,0.5125184094256259,25.541973490427104
1987-01-01,ND,historical,0.5684523809523809,27.761904761904763
1988-01-01,ND,historical,0.5912518853695324,26.689291101055808
1989-01-01,ND,historical,0.6318181818181818,24.97727272727273
1990-01-01,ND,historical,0.7388854101440201,28.48465873512837
1991-01-01,ND,historical,0.6535433070866141,27.28503937007874
1992-01-01,ND,historical,0.8333333333333334,28.199685534591197
1993-01-01,ND,historical,0.8220472440944881,27.38110236220473
1994-01-01,ND,historical,0.8181818181818182,26.54075235109718
1995-01-01,ND,historical,0.8673946957878315,27.795631825273013
1996-01-01,ND,historical,0.8400621118012422,25.85093167701863
1997-01-01,ND,historical,0.8720748829953198,26.241809672386893
1998-01-01,ND,historical,0.8934169278996865,25.916927899686517
1999-01-01,ND,historical,0.6691222189607774,23.27409076706025
2000-01-01,ND,historical,0.8143880411086888,22.066334475241355
2001-01-01,ND,historical,0.7933390935511744,23.303746759877466
2002-01-01,ND,historical,0.7824442232426949,23.287180692557786
2003-01-01,ND,historical,0.8020208399115882,21.098831701926112
2004-01-01,ND,historical,0.8769338119275571,19.633573678155862
2005-01-01,ND,historical,1.1125030530802624,20.24566462602721
2006-01-01,ND,historical,1.9736831758842648,21.009110395727404
2007-01-01,ND,historical,2.0993723767615267,20.002657433388304
2008-01-01,ND,historical,2.2463642726752626,20.31081201157945
2009-01-01,ND,historical,2.6637025310584934,19.80848550809777
2010-01-01,ND,historical,2.29459451046427,17.802377306638167
2011-01-01,ND,historical,2.4812337529573267,19.473084674474983
2012-01-01,ND,historical,2.456708182135753,20.385117167727717
2013-01-01,ND,historical,2.733965410295128,21.214134836024247
2014-01-01,ND,historical,2.7039078968704398,21.427220150262148
2015-01-01,ND,historical,2.5751980286323968,23.408008350565186
2016-01-01,ND,historical,2.521348742899194,23.097142736133247
2017-01-01,ND,historical,2.8245071347606383,22.051813087280323
2018-01-01,ND,historical,2.8413887716336004,20.606004643309408
2019-01-01,ND,historical,3.0141778967270896,19.994134006525915
2020-01-01,ND,historical,3.2901742956113167,21.24109346682189
2021-01-01,ND,forecast,1.8977214097976685,21.28919792175293
1979-01-01,NE,historical,2.2592121982210926,37.6715374841169
1980-01-01,NE,historical,2.2456377272253523,40.806409019381405
1981-01-01,NE,historical,1.8153553299492384,39.960025380710654
1982-01-01,NE,historical,2.2957124842370744,37.2124842370744
1983-01-01,NE,historical,2.1772072636192856,35.699436443331244
1984-01-01,NE,historical,2.25840597758406,32.70610211706102
1985-01-01,NE,historical,2.37920298879203,34.56662515566625
1986-01-01,NE,historical,2.6257822277847307,35.93116395494368
1987-01-01,NE,historical,2.511919698870765,38.803638644918436
1988-01-01,NE,historical,2.7320424734540913,38.668332292317295
1989-01-01,NE,historical,2.7951582867783986,38.121042830540034
1990-01-01,NE,historical,3.3002087576858625,38.83083024737311
1991-01-01,NE,historical,3.3458882611424983,40.195229127432526
1992-01-01,NE,historical,3.485678704856787,39.7546699875467
1993-01-01,NE,historical,3.7778469197261977,39.03235843186061
1994-01-01,NE,historical,3.8952556993222434,40.50893407270487
1995-01-01,NE,historical,3.81979230299328,41.62492364080635
1996-01-01,NE,historical,4.3474576271186445,40.0181598062954
1997-01-01,NE,historical,4.384429692214846,38.45322872661436
1998-01-01,NE,historical,4.514131088394468,39.538184004810574
1999-01-01,NE,historical,4.301848468333065,36.780294208740784
