state,crime_rate,baseline_MAE,baseline_RMSE,baseline_R2,LSTM_MAE,LSTM_RMSE,LSTM_R2
OH,property_crime_1000,0.1828459453966133,0.23544176066833516,0.9431339499323107,0.5196607578862777,0.7706205301187843,0.39078972553817515
OK,violent_crime_1000,0.3179338074140405,0.38328973318845133,0.8505682791004407,0.5485129891391414,0.7008399481951013,0.5003957514639962
OK,property_crime_1000,0.21847203180446337,0.28433975226602104,0.9210184115167844,0.4289818643995151,0.5244838192448227,0.7312707800804816
OR,violent_crime_1000,0.12764032197486816,0.18428176634542942,0.9652743876404425,0.34098759366989595,0.4039095273582262,0.8331779802417919
OR,property_crime_1000,0.19373435411517678,0.2513839703994991,0.937041878019161,0.3686158111541531,0.4616164508438553,0.787705297408535
PA,violent_crime_1000,0.3628498460381345,0.5109795211889269,0.7379942206659693,0.43043875624250605,0.5364727374008863,0.7111986662100614
PA,property_crime_1000,0.19155458113150262,0.23136884588908926,0.9456840270479372,0.3870415617424483,0.5521744097321669,0.6906355870915315
RI,violent_crime_1000,0.27980075488035405,0.354965863699197,0.8745624367895987,0.35337982592009193,0.4757482864868996,0.774675251814366
RI,property_crime_1000,0.1508785498247927,0.17835883279889492,0.9666696581903907,0.29005960112582746,0.3818406094035788,0.8472382048729481
SC,violent_crime_1000,0.20248814775891255,0.29156053668488924,0.9168039629222555,0.360768225739823,0.4295790079954507,0.8193943803994559
SC,property_crime_1000,0.22221881238841196,0.2819324619752367,0.9223634329866158,0.47489764055791056,0.608579091398152,0.6382486083751902
SD,violent_crime_1000,0.24509832193027378,0.33400813275187397,0.8900493328305858,0.3809915174093066,0.5095465476888364,0.7441110614607038
SD,property_crime_1000,0.27526788477192315,0.38361705427667186,0.851512680001919,0.3491454406133396,0.46401113854684556,0.7827547105664074
TN,violent_crime_1000,0.26949697652016985,0.34493884166895405,0.872106566942393,0.3688453351702515,0.5118828686554406,0.7183529321272104
TN,property_crime_1000,0.29096356297601184,0.3468856599546578,0.8819136660573738,0.36296755965856486,0.4657363796205166,0.7871335231631512
TX,violent_crime_1000,0.25345133261683034,0.3405171653327068,0.886352686656051,0.3159539621257654,0.4159505373002004,0.8304239426150116
TX,property_crime_1000,0.14801584408197058,0.19269907546482992,0.9635320326935499,0.3586849654186534,0.48957222212019674,0.7646111801480114
UT,violent_crime_1000,0.35582415033214876,0.4516624575488888,0.7927568248231704,0.5155672988250304,0.6398768612365161,0.584046232159428
UT,property_crime_1000,0.1936862141184803,0.25095502906228423,0.9374210104415494,0.2950897429591064,0.36826600435622736,0.8652403111436745
VT,violent_crime_1000,0.4758303702907715,0.6382170688191384,0.5567530342790787,0.5018664199100167,0.7016944321273145,0.46419717117924186
VT,property_crime_1000,0.22260681939963373,0.2769352856345832,0.9163850227279098,0.28758361620963596,0.40942330287899714,0.8172435971087694
VA,violent_crime_1000,0.19488753448927051,0.2520765543387057,0.9377934320976617,0.555343025347459,0.6957238089896164,0.5261454389370821
VA,property_crime_1000,0.14671686658750624,0.18640468062345292,0.9647560486647221,0.2796562371316213,0.3937787556994444,0.8427192646673919
WA,violent_crime_1000,0.20335518928032015,0.2701476304205163,0.928064833705214,0.2567579140522377,0.3198978194933315,0.8991301240916594
WA,property_crime_1000,0.16116679301788983,0.21177935496228528,0.9549765638374462,0.4002437061218541,0.49562021997725714,0.7534134258983919
WV,violent_crime_1000,0.2639902322899598,0.38491199590934,0.8505160732503521,0.3591885913380583,0.4598614959318939,0.786633761630418
WV,property_crime_1000,0.365080161040125,0.4722965126552358,0.7818762780548347,0.515055969729248,0.6890731545918375,0.5356942272343796
WI,violent_crime_1000,0.36435696892011343,0.4864935690404393,0.7383150843469108,0.6539856397775101,0.7546893701511692,0.3702604814549372
WI,property_crime_1000,0.14651654927945135,0.17765607631280717,0.9679953211228082,0.25908216561275527,0.39330564126559164,0.843139464590419
WY,violent_crime_1000,0.4691276375101802,0.6523269288608124,0.5468335270278527,0.5004802593976124,0.7826352310273836,0.3477021520808631
WY,property_crime_1000,0.19395301890164798,0.24702461269237008,0.937442492480453,0.4521024809229365,0.6006794273638683,0.6300998573000738
DC,violent_crime_1000,0.26883834798911466,0.35238926238188367,0.8786584176525063,0.4423056522847176,0.6270364612333682,0.6158065900834442
DC,property_crime_1000,0.25227960393513116,0.3372561594538924,0.8886021804802956,0.33557075235729117,0.4431684979464537,0.8076489005556373
