state_abbr,year,population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_1000,homicide_1000,rape_1000,robbery_1000,aggravated_assault_1000,property_crime_1000,burglary_1000,larceny_1000,motor_vehicle_theft_1000,arson_1000,avg_unemployment_rate,avg_CPI,ag_Democrat,ag_Mixed,ag_Republican,ag_Unknown
MI,2001,10006266,55424,672,5264,12937,36551,352353,72038,226708,53607,4257,5.538929306896299,0.0671579188480498,0.5260703643097235,1.292889875204197,3.6528111485343286,35.21323538670669,7.1992889255592445,22.656603372326902,5.357343088820545,0.425433423416887,5.158333333333333,177.04166666666666,1,0,0,0
MI,2002,10043221,54306,678,5364,11847,36417,335060,70970,214367,49723,4904,5.407229413750827,0.0675082227106224,0.5340916026840393,1.1796016437356105,3.626027944620556,33.36180693424948,7.066458061611908,21.34444716490855,4.950901707729025,0.4882895636768324,6.191666666666666,179.86666666666665,1,0,0,0
MI,2003,10082364,51550,612,5470,11254,34214,330565,68316,208538,53711,4103,5.1128882075671935,0.0607000501072962,0.542531493606063,1.116206476973059,3.393450186880776,32.78645762045489,6.775791867859562,20.683442890972792,5.327222861622532,0.4069482117487525,7.091666666666666,184.0,0,0,1,0
MI,2004,10104206,49737,643,5482,11336,32276,309805,64233,194988,50584,3729,4.9224055804087925,0.0636368656775208,0.5425463415927981,1.121909034712871,3.194313338425602,30.660994045449986,6.357055665729697,19.297706321506112,5.006232058214174,0.3690542334548602,6.95,188.90833333333333,0,0,1,0
MI,2005,10100833,55936,629,5199,13348,36760,312892,70527,194090,48275,3218,5.537761093565253,0.0622720918165858,0.514710024410858,1.3214751694241451,3.639303807913664,30.97685111713064,6.982295420585609,19.215246900923912,4.779308795621113,0.3185875857961417,6.791666666666667,195.26666666666665,0,0,1,0
MI,2006,10095643,56981,721,5347,14229,36684,325594,76313,199183,50098,3241,5.644117962570586,0.0714169468948139,0.5296344175403191,1.409419885390163,3.63364671274529,32.25094231244112,7.559003423556082,19.72960018495107,4.962338703933964,0.3210295768184354,7.033333333333334,201.55833333333337,0,0,1,0
MI,2007,10071822,53765,661,4592,13365,35147,308550,75273,191289,41988,2987,5.338160265342259,0.0656286419676598,0.4559254522170864,1.326969440087404,3.4896367310701084,30.634973493375877,7.473622945282393,18.99249212307366,4.168858425019822,0.2965699751246596,7.083333333333335,207.34416666666667,0,0,1,0
MI,2008,10003422,51512,554,4507,13246,33205,295100,74787,184558,35755,2862,5.149437862363499,0.0553810486051673,0.4505458232192943,1.3241468769387117,3.319364113600326,29.49990513246367,7.476141664322468,18.449486585690376,3.574276882450825,0.2861020958627957,8.216666666666667,215.25425,0,0,1,0
MI,2009,9969727,49825,623,4524,12427,32251,284019,76046,178628,29345,2675,4.997629323250275,0.0624891734748604,0.4537737091497089,1.2464734490723768,3.234892991553329,28.488142152738984,7.627691309902467,17.91704025596689,2.9434105868696303,0.2683122617098742,13.133333333333333,214.56466666666665,0,0,1,0
MI,2010,9877143,48693,580,4733,11522,31858,271501,74345,169748,27408,3007,4.929866865347601,0.0587214339207197,0.4791871495633909,1.166531657990575,3.225426623872916,27.48780694984369,7.526974146268815,17.185941319266107,2.7748914843087724,0.3044402617234558,12.191666666666668,218.07616666666664,0,0,1,0
MI,2011,9876801,43731,617,4344,10263,28507,251329,69755,156666,24908,2663,4.427648182847868,0.0624696194648449,0.4398185201868499,1.0391016281486285,2.8862584150475445,25.44639706722855,7.062509409676271,15.86201848149011,2.5218691760621685,0.2696217125362757,10.008333333333336,224.923,0,0,1,0
MI,2012,9882519,44962,701,4635,10423,29203,249249,65560,158609,25080,2428,4.549649740111807,0.0709333318762149,0.469009976100223,1.0546906107643204,2.9550158213710493,25.221201193744225,6.63393614522775,16.049450550006533,2.5378144985099444,0.2456863477823822,9.058333333333332,229.58608333333336,0,0,1,0
MN,1979,4060000,8973,93,871,3754,4255,169376,45183,110827,13366,1443,2.210098522167488,0.0229064039408867,0.2145320197044335,0.9246305418719212,1.0480295566502462,41.71822660098522,11.128817733990148,27.29729064039409,3.2921182266009854,0.3554187192118226,4.325,72.58333333333333,1,0,0,0
MN,1980,4061235,9250,106,942,4025,4177,185668,50602,123050,12016,1550,2.277632296579735,0.026100434966211,0.2319491484733092,0.9910778371603712,1.0285048759798436,45.717127917985536,12.459756699624622,30.2986653074742,2.958705910886713,0.3816573037511988,5.758333333333333,82.38333333333334,1,0,0,0
MN,1981,4090000,9344,85,1056,4266,3937,184387,52253,121834,10300,1438,2.284596577017115,0.0207823960880195,0.2581907090464547,1.0430317848410755,0.9625916870415648,45.08239608801956,12.775794621026895,29.788264058679708,2.5183374083129584,0.3515892420537897,5.758333333333334,90.93333333333334,1,0,0,0
MN,1982,4133000,9062,95,938,4188,3841,175048,48855,116375,9818,1355,2.1925961771110574,0.0229857246552141,0.2269537865956932,1.013307524800387,0.9293491410597629,42.353738204693926,11.820711347689327,28.15751270263731,2.375514154367288,0.3278490200822647,7.924999999999998,96.53333333333336,1,0,0,0
MN,1983,4144000,7909,69,927,3298,3615,159268,44571,106034,8663,998,1.908542471042471,0.0166505791505791,0.2236969111969112,0.7958494208494209,0.8723455598455598,38.433397683397686,10.755550193050192,25.587355212355213,2.090492277992278,0.2408301158301158,7.925,99.58333333333331,1,0,0,0
MN,1984,4162000,8802,74,1051,2960,4717,151082,41242,101240,8600,1114,2.1148486304661223,0.0177799135031235,0.2525228255646324,0.7111965401249399,1.1333493512734265,36.30033637674195,9.909178279673236,24.32484382508409,2.0663142719846226,0.2676597789524267,6.291666666666667,103.93333333333332,1,0,0,0
MN,1985,4193000,10751,88,1242,3598,5823,162597,42663,108954,10980,1111,2.564035296923444,0.0209873598855234,0.2962079656570474,0.8580968280467446,1.3887431433341284,38.77820176484617,10.174815168137371,25.9847364655378,2.618650131170999,0.2649654185547341,6.025,107.6,1,0,0,0
